,date,state,cases_new
332,2020-02-14,Terengganu,0
333,2020-02-14,W.P. Kuala Lumpur,1
334,2020-02-14,W.P. Labuan,0
335,2020-02-14,W.P. Putrajaya,0
336,2020-02-15,Johor,0
337,2020-02-15,Kedah,1
338,2020-02-15,Kelantan,0
339,2020-02-15,Melaka,0
340,2020-02-15,Negeri Sembilan,0
341,2020-02-15,Pahang,0
342,2020-02-15,Perak,0
343,2020-02-15,Perlis,0
344,2020-02-15,Pulau Pinang,0
345,2020-02-15,Sabah,0
346,2020-02-15,Sarawak,0
347,2020-02-15,Selangor,2
348,2020-02-15,Terengganu,0
349,2020-02-15,W.P. Kuala Lumpur,0
350,2020-02-15,W.P. Labuan,0
351,2020-02-15,W.P. Putrajaya,0
352,2020-02-16,Johor,0
353,2020-02-16,Kedah,0
354,2020-02-16,Kelantan,0
355,2020-02-16,Melaka,0
356,2020-02-16,Negeri Sembilan,0
357,2020-02-16,Pahang,0
358,2020-02-16,Perak,0
359,2020-02-16,Perlis,0
360,2020-02-16,Pulau Pinang,0
361,2020-02-16,Sabah,0
362,2020-02-16,Sarawak,0
363,2020-02-16,Selangor,0
364,2020-02-16,Terengganu,0
365,2020-02-16,W.P. Kuala Lumpur,0
366,2020-02-16,W.P. Labuan,0
367,2020-02-16,W.P. Putrajaya,0
368,2020-02-17,Johor,0
369,2020-02-17,Kedah,0
370,2020-02-17,Kelantan,0
371,2020-02-17,Melaka,0
372,2020-02-17,Negeri Sembilan,0
373,2020-02-17,Pahang,0
374,2020-02-17,Perak,0
375,2020-02-17,Perlis,0
376,2020-02-17,Pulau Pinang,0
377,2020-02-17,Sabah,0
378,2020-02-17,Sarawak,0
379,2020-02-17,Selangor,0
380,2020-02-17,Terengganu,0
381,2020-02-17,W.P. Kuala Lumpur,0
382,2020-02-17,W.P. Labuan,0
383,2020-02-17,W.P. Putrajaya,0
384,2020-02-18,Johor,0
385,2020-02-18,Kedah,0
386,2020-02-18,Kelantan,0
387,2020-02-18,Melaka,0
388,2020-02-18,Negeri Sembilan,0
389,2020-02-18,Pahang,0
390,2020-02-18,Perak,0
391,2020-02-18,Perlis,0
392,2020-02-18,Pulau Pinang,0
393,2020-02-18,Sabah,0
394,2020-02-18,Sarawak,0
395,2020-02-18,Selangor,0
396,2020-02-18,Terengganu,0
397,2020-02-18,W.P. Kuala Lumpur,0
398,2020-02-18,W.P. Labuan,0
399,2020-02-18,W.P. Putrajaya,0
400,2020-02-19,Johor,0
401,2020-02-19,Kedah,0
402,2020-02-19,Kelantan,0
403,2020-02-19,Melaka,0
404,2020-02-19,Negeri Sembilan,0
405,2020-02-19,Pahang,0
406,2020-02-19,Perak,0
407,2020-02-19,Perlis,0
408,2020-02-19,Pulau Pinang,0
409,2020-02-19,Sabah,0
410,2020-02-19,Sarawak,0
411,2020-02-19,Selangor,0
412,2020-02-19,Terengganu,0
413,2020-02-19,W.P. Kuala Lumpur,0
414,2020-02-19,W.P. Labuan,0
415,2020-02-19,W.P. Putrajaya,0
416,2020-02-20,Johor,0
417,2020-02-20,Kedah,0
418,2020-02-20,Kelantan,0
419,2020-02-20,Melaka,0
420,2020-02-20,Negeri Sembilan,0
421,2020-02-20,Pahang,0
422,2020-02-20,Perak,0
423,2020-02-20,Perlis,0
424,2020-02-20,Pulau Pinang,0
425,2020-02-20,Sabah,0
426,2020-02-20,Sarawak,0
427,2020-02-20,Selangor,0
428,2020-02-20,Terengganu,0
429,2020-02-20,W.P. Kuala Lumpur,0
430,2020-02-20,W.P. Labuan,0
431,2020-02-20,W.P. Putrajaya,0
432,2020-02-21,Johor,0
433,2020-02-21,Kedah,0
434,2020-02-21,Kelantan,0
435,2020-02-21,Melaka,0
436,2020-02-21,Negeri Sembilan,0
437,2020-02-21,Pahang,0
438,2020-02-21,Perak,0
439,2020-02-21,Perlis,0
440,2020-02-21,Pulau Pinang,0
441,2020-02-21,Sabah,0
442,2020-02-21,Sarawak,0
443,2020-02-21,Selangor,0
444,2020-02-21,Terengganu,0
445,2020-02-21,W.P. Kuala Lumpur,0
446,2020-02-21,W.P. Labuan,0
447,2020-02-21,W.P. Putrajaya,0
448,2020-02-22,Johor,0
449,2020-02-22,Kedah,0
450,2020-02-22,Kelantan,0
451,2020-02-22,Melaka,0
452,2020-02-22,Negeri Sembilan,0
453,2020-02-22,Pahang,0
454,2020-02-22,Perak,0
455,2020-02-22,Perlis,0
456,2020-02-22,Pulau Pinang,0
457,2020-02-22,Sabah,0
458,2020-02-22,Sarawak,0
459,2020-02-22,Selangor,0
460,2020-02-22,Terengganu,0
461,2020-02-22,W.P. Kuala Lumpur,0
462,2020-02-22,W.P. Labuan,0
463,2020-02-22,W.P. Putrajaya,0
464,2020-02-23,Johor,0
465,2020-02-23,Kedah,0
466,2020-02-23,Kelantan,0
467,2020-02-23,Melaka,0
468,2020-02-23,Negeri Sembilan,0
469,2020-02-23,Pahang,0
470,2020-02-23,Perak,0
471,2020-02-23,Perlis,0
472,2020-02-23,Pulau Pinang,0
473,2020-02-23,Sabah,0
474,2020-02-23,Sarawak,0
475,2020-02-23,Selangor,0
476,2020-02-23,Terengganu,0
477,2020-02-23,W.P. Kuala Lumpur,0
478,2020-02-23,W.P. Labuan,0
479,2020-02-23,W.P. Putrajaya,0
480,2020-02-24,Johor,0
481,2020-02-24,Kedah,0
482,2020-02-24,Kelantan,0
483,2020-02-24,Melaka,0
484,2020-02-24,Negeri Sembilan,0
485,2020-02-24,Pahang,0
486,2020-02-24,Perak,0
487,2020-02-24,Perlis,0
488,2020-02-24,Pulau Pinang,0
489,2020-02-24,Sabah,0
490,2020-02-24,Sarawak,0
491,2020-02-24,Selangor,0
492,2020-02-24,Terengganu,0
493,2020-02-24,W.P. Kuala Lumpur,0
494,2020-02-24,W.P. Labuan,0
495,2020-02-24,W.P. Putrajaya,0
496,2020-02-25,Johor,0
497,2020-02-25,Kedah,0
498,2020-02-25,Kelantan,0
499,2020-02-25,Melaka,0
500,2020-02-25,Negeri Sembilan,0
501,2020-02-25,Pahang,0
502,2020-02-25,Perak,0
503,2020-02-25,Perlis,0
504,2020-02-25,Pulau Pinang,0
505,2020-02-25,Sabah,0
506,2020-02-25,Sarawak,0
507,2020-02-25,Selangor,0
508,2020-02-25,Terengganu,0
509,2020-02-25,W.P. Kuala Lumpur,0
510,2020-02-25,W.P. Labuan,0
511,2020-02-25,W.P. Putrajaya,0
512,2020-02-26,Johor,0
513,2020-02-26,Kedah,0
514,2020-02-26,Kelantan,0
515,2020-02-26,Melaka,0
516,2020-02-26,Negeri Sembilan,0
517,2020-02-26,Pahang,0
518,2020-02-26,Perak,0
519,2020-02-26,Perlis,0
520,2020-02-26,Pulau Pinang,0
521,2020-02-26,Sabah,0
522,2020-02-26,Sarawak,0
523,2020-02-26,Selangor,0
524,2020-02-26,Terengganu,0
525,2020-02-26,W.P. Kuala Lumpur,0
526,2020-02-26,W.P. Labuan,0
527,2020-02-26,W.P. Putrajaya,0
528,2020-02-27,Johor,0
529,2020-02-27,Kedah,0
530,2020-02-27,Kelantan,0
531,2020-02-27,Melaka,0
532,2020-02-27,Negeri Sembilan,0
533,2020-02-27,Pahang,0
534,2020-02-27,Perak,0
535,2020-02-27,Perlis,0
536,2020-02-27,Pulau Pinang,0
537,2020-02-27,Sabah,0
538,2020-02-27,Sarawak,0
539,2020-02-27,Selangor,1
540,2020-02-27,Terengganu,0
541,2020-02-27,W.P. Kuala Lumpur,0
542,2020-02-27,W.P. Labuan,0
543,2020-02-27,W.P. Putrajaya,0
544,2020-02-28,Johor,0
545,2020-02-28,Kedah,0
546,2020-02-28,Kelantan,0
547,2020-02-28,Melaka,0
548,2020-02-28,Negeri Sembilan,0
549,2020-02-28,Pahang,0
550,2020-02-28,Perak,0
551,2020-02-28,Perlis,0
552,2020-02-28,Pulau Pinang,0
553,2020-02-28,Sabah,0
554,2020-02-28,Sarawak,0
555,2020-02-28,Selangor,1
556,2020-02-28,Terengganu,0
557,2020-02-28,W.P. Kuala Lumpur,1
558,2020-02-28,W.P. Labuan,0
559,2020-02-28,W.P. Putrajaya,0
560,2020-02-29,Johor,0
561,2020-02-29,Kedah,0
562,2020-02-29,Kelantan,0
563,2020-02-29,Melaka,0
564,2020-02-29,Negeri Sembilan,0
565,2020-02-29,Pahang,0
566,2020-02-29,Perak,0
567,2020-02-29,Perlis,0
568,2020-02-29,Pulau Pinang,0
569,2020-02-29,Sabah,0
570,2020-02-29,Sarawak,0
571,2020-02-29,Selangor,0
572,2020-02-29,Terengganu,0
573,2020-02-29,W.P. Kuala Lumpur,0
574,2020-02-29,W.P. Labuan,0
575,2020-02-29,W.P. Putrajaya,0
576,2020-01-03,Johor,0
577,2020-01-03,Kedah,0
578,2020-01-03,Kelantan,0
579,2020-01-03,Melaka,0
580,2020-01-03,Negeri Sembilan,0
581,2020-01-03,Pahang,0
582,2020-01-03,Perak,0
583,2020-01-03,Perlis,0
584,2020-01-03,Pulau Pinang,0
585,2020-01-03,Sabah,0
586,2020-01-03,Sarawak,0
587,2020-01-03,Selangor,4
588,2020-01-03,Terengganu,0
589,2020-01-03,W.P. Kuala Lumpur,0
590,2020-01-03,W.P. Labuan,0
591,2020-01-03,W.P. Putrajaya,0
592,2020-02-03,Johor,0
593,2020-02-03,Kedah,0
594,2020-02-03,Kelantan,0
595,2020-02-03,Melaka,0
