,date,cases_new,cases_pvax,cases_fvax,cases_vax,month,year,monthly
308,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
309,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
310,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
311,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
312,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
313,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
314,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
315,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
316,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
317,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
318,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
319,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
320,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
321,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
322,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
323,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
324,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
325,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
326,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
327,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
328,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
329,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
330,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
331,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
332,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
333,2020-02-14,1,0.0,0.0,0.0,2,2020,2020-02
334,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
335,2020-02-14,0,0.0,0.0,0.0,2,2020,2020-02
336,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
337,2020-02-15,1,0.0,0.0,0.0,2,2020,2020-02
338,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
339,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
340,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
341,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
342,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
343,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
344,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
345,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
346,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
347,2020-02-15,2,0.0,0.0,0.0,2,2020,2020-02
348,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
349,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
350,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
351,2020-02-15,0,0.0,0.0,0.0,2,2020,2020-02
352,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
353,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
354,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
355,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
356,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
357,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
358,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
359,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
360,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
361,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
362,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
363,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
364,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
365,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
366,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
367,2020-02-16,0,0.0,0.0,0.0,2,2020,2020-02
368,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
369,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
370,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
371,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
372,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
373,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
374,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
375,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
376,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
377,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
378,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
379,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
380,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
381,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
382,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
383,2020-02-17,0,0.0,0.0,0.0,2,2020,2020-02
384,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
385,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
386,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
387,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
388,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
389,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
390,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
391,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
392,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
393,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
394,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
395,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
396,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
397,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
398,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
399,2020-02-18,0,0.0,0.0,0.0,2,2020,2020-02
